Date,Origin,Destination,Transport Mode,Quantity,Commodity
2020-04-26,Warehouse B,Market 3,Rail,327,General Commodities
2019-02-10,Warehouse B,Market 3,Ship,15,General Commodities
2022-11-27,Warehouse A,Market 2,Truck,262,General Commodities
2017-08-13,Warehouse A,Market 2,Ship,175,General Commodities
2020-09-06,Warehouse A,Market 2,Ship,433,General Commodities
2020-04-19,Warehouse A,Market 2,Truck,10,General Commodities
2019-09-29,Warehouse B,Market 1,Air,109,General Commodities
2021-01-31,Warehouse B,Market 2,Ship,349,General Commodities
2018-12-23,Warehouse A,Market 2,Truck,344,General Commodities
2021-08-15,Warehouse B,Market 3,Truck,289,General Commodities
2022-10-02,Warehouse C,Market 1,Ship,182,General Commodities
2017-08-27,Warehouse B,Market 1,Rail,444,General Commodities
2017-08-06,Warehouse A,Market 2,Ship,456,General Commodities
2017-02-26,Warehouse B,Market 3,Ship,409,General Commodities
2022-11-27,Warehouse B,Market 3,Truck,155,General Commodities
2020-11-15,Warehouse B,Market 3,Truck,54,General Commodities
2020-06-21,Warehouse C,Market 1,Truck,335,General Commodities
2018-01-21,Warehouse B,Market 2,Rail,337,General Commodities
2021-01-17,Warehouse A,Market 2,Ship,440,General Commodities
2018-05-06,Warehouse A,Market 2,Rail,350,General Commodities
2021-05-23,Warehouse A,Market 2,Air,81,General Commodities
2018-11-25,Warehouse B,Market 1,Ship,355,General Commodities
2021-09-12,Warehouse C,Market 2,Rail,77,General Commodities
2019-12-08,Warehouse A,Market 2,Ship,38,General Commodities
2018-07-01,Warehouse B,Market 3,Ship,18,General Commodities
2022-02-27,Warehouse C,Market 3,Truck,195,General Commodities
2022-10-16,Warehouse C,Market 1,Ship,20,General Commodities
2018-03-11,Warehouse A,Market 2,Air,49,General Commodities
2019-11-17,Warehouse C,Market 1,Ship,82,General Commodities
2019-11-24,Warehouse B,Market 1,Rail,206,General Commodities
2018-08-19,Warehouse A,Market 1,Truck,477,General Commodities
2017-11-12,Warehouse C,Market 3,Rail,237,General Commodities
2017-11-05,Warehouse A,Market 3,Rail,73,General Commodities
2020-03-08,Warehouse A,Market 1,Air,48,General Commodities
2018-09-23,Warehouse C,Market 2,Rail,492,General Commodities
2022-03-27,Warehouse B,Market 2,Ship,159,General Commodities
2021-10-31,Warehouse C,Market 1,Truck,122,General Commodities
2018-08-05,Warehouse B,Market 1,Ship,199,General Commodities
2019-03-17,Warehouse A,Market 1,Ship,423,General Commodities
2019-06-30,Warehouse A,Market 3,Ship,349,General Commodities
2017-07-16,Warehouse C,Market 3,Air,452,General Commodities
2020-08-30,Warehouse B,Market 2,Truck,47,General Commodities
2018-08-19,Warehouse B,Market 1,Ship,322,General Commodities
2021-12-19,Warehouse B,Market 3,Air,56,General Commodities
2017-12-17,Warehouse A,Market 3,Rail,440,General Commodities
2017-08-20,Warehouse C,Market 1,Air,103,General Commodities
2021-06-27,Warehouse A,Market 1,Ship,98,General Commodities
2021-12-26,Warehouse A,Market 1,Truck,184,General Commodities
2020-06-14,Warehouse A,Market 2,Rail,147,General Commodities
2021-01-10,Warehouse C,Market 3,Ship,98,General Commodities
2020-09-06,Warehouse A,Market 1,Rail,63,General Commodities
2018-05-06,Warehouse C,Market 3,Rail,204,General Commodities
2017-05-21,Warehouse A,Market 2,Air,152,General Commodities
2017-03-26,Warehouse C,Market 1,Ship,388,General Commodities
2018-01-14,Warehouse C,Market 3,Truck,400,General Commodities
2019-03-24,Warehouse C,Market 2,Rail,56,General Commodities
2017-09-10,Warehouse B,Market 2,Rail,149,General Commodities
2021-12-19,Warehouse C,Market 1,Ship,54,General Commodities
2020-06-07,Warehouse A,Market 2,Rail,490,General Commodities
2019-10-06,Warehouse C,Market 2,Ship,45,General Commodities
2019-11-03,Warehouse B,Market 3,Ship,39,General Commodities
2019-11-17,Warehouse B,Market 3,Rail,465,General Commodities
2018-08-19,Warehouse B,Market 3,Air,30,General Commodities
2020-04-12,Warehouse C,Market 3,Ship,304,General Commodities
2022-01-23,Warehouse A,Market 2,Rail,478,General Commodities
2021-05-02,Warehouse C,Market 1,Ship,58,General Commodities
2017-03-12,Warehouse A,Market 2,Air,497,General Commodities
2018-02-18,Warehouse B,Market 1,Ship,112,General Commodities
2019-08-25,Warehouse C,Market 1,Rail,230,General Commodities
2022-06-12,Warehouse B,Market 2,Ship,107,General Commodities
2022-01-30,Warehouse B,Market 3,Ship,405,General Commodities
2018-07-01,Warehouse A,Market 1,Rail,279,General Commodities
2022-04-17,Warehouse B,Market 1,Ship,254,General Commodities
2018-01-28,Warehouse B,Market 1,Truck,92,General Commodities
2021-08-01,Warehouse B,Market 1,Ship,235,General Commodities
2021-11-07,Warehouse A,Market 2,Ship,365,General Commodities
2020-12-13,Warehouse A,Market 1,Rail,364,General Commodities
2021-01-31,Warehouse A,Market 1,Rail,185,General Commodities
2017-07-30,Warehouse A,Market 1,Air,54,General Commodities
2018-10-14,Warehouse B,Market 2,Rail,130,General Commodities
2017-04-02,Warehouse B,Market 1,Ship,363,General Commodities
2021-06-27,Warehouse B,Market 1,Air,361,General Commodities
2018-04-01,Warehouse C,Market 1,Rail,429,General Commodities
2020-09-27,Warehouse B,Market 2,Air,36,General Commodities
2021-09-12,Warehouse B,Market 3,Ship,241,General Commodities
2018-04-15,Warehouse B,Market 1,Truck,392,General Commodities
2017-09-17,Warehouse C,Market 1,Air,232,General Commodities
2020-10-18,Warehouse C,Market 3,Air,305,General Commodities
2022-03-13,Warehouse A,Market 1,Ship,282,General Commodities
2019-08-18,Warehouse B,Market 1,Air,326,General Commodities
2020-02-23,Warehouse C,Market 3,Rail,363,General Commodities
2018-08-19,Warehouse C,Market 2,Ship,229,General Commodities
2021-10-17,Warehouse C,Market 2,Rail,316,General Commodities
2020-05-24,Warehouse B,Market 2,Air,166,General Commodities
2021-03-14,Warehouse B,Market 1,Air,338,General Commodities
2021-11-14,Warehouse B,Market 2,Ship,373,General Commodities
2020-04-12,Warehouse B,Market 2,Air,115,General Commodities
2017-03-26,Warehouse B,Market 1,Truck,39,General Commodities
2019-03-10,Warehouse B,Market 1,Air,184,General Commodities
2020-10-25,Warehouse B,Market 1,Truck,362,General Commodities
2018-01-28,Warehouse A,Market 2,Air,117,General Commodities
2018-05-06,Warehouse A,Market 1,Truck,478,General Commodities
2019-09-22,Warehouse C,Market 2,Rail,118,General Commodities
2018-04-08,Warehouse C,Market 1,Truck,291,General Commodities
2020-01-19,Warehouse C,Market 1,Air,27,General Commodities
2022-09-04,Warehouse A,Market 1,Ship,368,General Commodities
2017-05-07,Warehouse A,Market 3,Air,27,General Commodities
2017-04-30,Warehouse C,Market 1,Ship,116,General Commodities
2017-02-19,Warehouse A,Market 2,Rail,212,General Commodities
2021-05-23,Warehouse A,Market 2,Truck,423,General Commodities
2020-11-22,Warehouse C,Market 2,Rail,139,General Commodities
2018-05-13,Warehouse A,Market 3,Ship,374,General Commodities
2021-09-05,Warehouse B,Market 2,Truck,401,General Commodities
2018-11-11,Warehouse C,Market 2,Ship,175,General Commodities
2017-03-05,Warehouse A,Market 1,Air,410,General Commodities
2017-06-25,Warehouse A,Market 2,Air,71,General Commodities
2022-04-10,Warehouse A,Market 1,Ship,49,General Commodities
2021-12-19,Warehouse C,Market 2,Truck,176,General Commodities
2022-10-09,Warehouse C,Market 3,Rail,157,General Commodities
2021-08-22,Warehouse A,Market 3,Truck,418,General Commodities
2021-10-24,Warehouse C,Market 1,Air,394,General Commodities
2022-06-12,Warehouse C,Market 2,Ship,229,General Commodities
2019-08-04,Warehouse C,Market 2,Truck,180,General Commodities
2017-09-24,Warehouse C,Market 3,Truck,152,General Commodities
2022-02-13,Warehouse A,Market 2,Rail,103,General Commodities
2018-07-08,Warehouse B,Market 1,Ship,141,General Commodities
2021-10-03,Warehouse C,Market 1,Air,312,General Commodities
2021-10-10,Warehouse B,Market 1,Rail,431,General Commodities
2020-08-09,Warehouse B,Market 3,Ship,292,General Commodities
2020-04-26,Warehouse C,Market 2,Air,162,General Commodities
2021-10-24,Warehouse B,Market 3,Rail,289,General Commodities
2018-11-18,Warehouse B,Market 3,Rail,484,General Commodities
2022-07-17,Warehouse B,Market 2,Ship,488,General Commodities
2020-10-25,Warehouse A,Market 1,Truck,471,General Commodities
2017-12-24,Warehouse A,Market 3,Rail,158,General Commodities
2017-08-20,Warehouse A,Market 2,Truck,136,General Commodities
2021-10-03,Warehouse A,Market 3,Ship,297,General Commodities
2022-05-29,Warehouse B,Market 3,Air,300,General Commodities
2021-10-31,Warehouse C,Market 2,Rail,162,General Commodities
2019-06-16,Warehouse C,Market 3,Rail,406,General Commodities
2018-08-26,Warehouse B,Market 3,Ship,174,General Commodities
2020-12-20,Warehouse B,Market 1,Rail,292,General Commodities
2018-12-30,Warehouse A,Market 1,Ship,432,General Commodities
2022-07-31,Warehouse A,Market 2,Rail,185,General Commodities
2022-08-21,Warehouse A,Market 1,Air,435,General Commodities
2019-08-11,Warehouse C,Market 1,Ship,418,General Commodities
2019-03-31,Warehouse C,Market 1,Rail,66,General Commodities
2021-03-14,Warehouse C,Market 1,Truck,219,General Commodities
2020-01-19,Warehouse C,Market 2,Ship,12,General Commodities
2020-05-31,Warehouse B,Market 3,Rail,385,General Commodities
2019-06-30,Warehouse B,Market 2,Air,377,General Commodities
2019-03-31,Warehouse A,Market 2,Truck,337,General Commodities
2022-04-10,Warehouse B,Market 1,Air,98,General Commodities
2020-11-22,Warehouse B,Market 2,Rail,285,General Commodities
2020-09-20,Warehouse A,Market 3,Ship,353,General Commodities
2018-12-09,Warehouse A,Market 3,Truck,18,General Commodities
2020-08-09,Warehouse C,Market 2,Air,109,General Commodities
2021-12-19,Warehouse A,Market 1,Truck,353,General Commodities
2018-07-01,Warehouse A,Market 3,Truck,359,General Commodities
2017-05-14,Warehouse A,Market 3,Ship,283,General Commodities
2022-02-13,Warehouse C,Market 1,Rail,478,General Commodities
2020-11-29,Warehouse B,Market 3,Air,362,General Commodities
2018-05-06,Warehouse C,Market 2,Ship,193,General Commodities
2017-07-23,Warehouse A,Market 3,Ship,261,General Commodities
2018-11-11,Warehouse C,Market 2,Rail,341,General Commodities
2021-12-19,Warehouse B,Market 2,Air,312,General Commodities
2020-10-11,Warehouse A,Market 2,Truck,132,General Commodities
2021-11-28,Warehouse B,Market 2,Air,160,General Commodities
2018-10-14,Warehouse B,Market 3,Ship,479,General Commodities
2022-12-18,Warehouse A,Market 1,Ship,333,General Commodities
2019-03-17,Warehouse A,Market 1,Truck,415,General Commodities
2020-03-08,Warehouse C,Market 1,Air,357,General Commodities
2022-05-15,Warehouse B,Market 2,Air,315,General Commodities
2021-11-07,Warehouse B,Market 3,Rail,219,General Commodities
2017-05-07,Warehouse A,Market 3,Air,334,General Commodities
2017-04-23,Warehouse C,Market 3,Rail,499,General Commodities
2017-06-25,Warehouse A,Market 1,Air,291,General Commodities
2017-05-28,Warehouse B,Market 3,Rail,13,General Commodities
2021-04-11,Warehouse A,Market 2,Air,306,General Commodities
2020-05-10,Warehouse B,Market 2,Air,200,General Commodities
2022-07-24,Warehouse A,Market 3,Ship,129,General Commodities
2018-02-25,Warehouse A,Market 3,Rail,203,General Commodities
2021-04-11,Warehouse C,Market 3,Ship,288,General Commodities
2017-12-10,Warehouse B,Market 3,Ship,31,General Commodities
2017-10-01,Warehouse A,Market 2,Truck,177,General Commodities
2017-12-10,Warehouse A,Market 1,Truck,306,General Commodities
2017-11-26,Warehouse A,Market 1,Air,216,General Commodities
2021-05-16,Warehouse C,Market 1,Rail,387,General Commodities
2020-12-13,Warehouse A,Market 2,Rail,74,General Commodities
2018-10-28,Warehouse C,Market 3,Ship,325,General Commodities
2020-10-04,Warehouse C,Market 2,Rail,475,General Commodities
2018-12-09,Warehouse C,Market 3,Ship,450,General Commodities
2019-05-19,Warehouse A,Market 1,Ship,391,General Commodities
2020-12-13,Warehouse B,Market 2,Ship,44,General Commodities
2021-08-01,Warehouse A,Market 3,Ship,341,General Commodities
2017-10-15,Warehouse C,Market 2,Rail,329,General Commodities
2020-04-19,Warehouse C,Market 3,Truck,34,General Commodities
2022-03-06,Warehouse A,Market 3,Air,292,General Commodities
2017-11-05,Warehouse C,Market 3,Air,480,General Commodities
2018-04-29,Warehouse C,Market 1,Air,260,General Commodities
2019-12-29,Warehouse B,Market 2,Ship,233,General Commodities
2020-11-22,Warehouse C,Market 3,Truck,452,General Commodities
2020-10-04,Warehouse B,Market 1,Ship,305,General Commodities
2022-08-07,Warehouse B,Market 3,Rail,88,General Commodities
2018-02-11,Warehouse C,Market 3,Truck,354,General Commodities
2017-03-12,Warehouse C,Market 3,Rail,19,General Commodities
2022-11-06,Warehouse C,Market 2,Air,207,General Commodities
2021-05-30,Warehouse A,Market 3,Ship,275,General Commodities
2021-04-11,Warehouse C,Market 1,Rail,410,General Commodities
2019-06-02,Warehouse B,Market 3,Rail,301,General Commodities
2022-07-24,Warehouse A,Market 1,Truck,496,General Commodities
2022-11-06,Warehouse C,Market 1,Rail,111,General Commodities
2022-06-05,Warehouse A,Market 3,Rail,231,General Commodities
2021-05-23,Warehouse C,Market 2,Rail,328,General Commodities
2018-09-16,Warehouse A,Market 3,Rail,331,General Commodities
2017-02-12,Warehouse B,Market 3,Ship,371,General Commodities
2021-08-01,Warehouse C,Market 2,Rail,291,General Commodities
2019-03-17,Warehouse C,Market 2,Rail,126,General Commodities
2017-10-01,Warehouse C,Market 1,Ship,113,General Commodities
2018-07-29,Warehouse C,Market 2,Ship,369,General Commodities
2022-02-06,Warehouse A,Market 3,Truck,90,General Commodities
2021-09-12,Warehouse C,Market 2,Ship,59,General Commodities
2017-09-17,Warehouse C,Market 1,Rail,46,General Commodities
2020-11-15,Warehouse B,Market 2,Air,258,General Commodities
2021-04-04,Warehouse B,Market 3,Truck,396,General Commodities
2022-08-21,Warehouse B,Market 2,Air,360,General Commodities
2018-06-17,Warehouse B,Market 1,Rail,404,General Commodities
2021-03-21,Warehouse B,Market 3,Truck,350,General Commodities
2019-12-15,Warehouse A,Market 1,Air,313,General Commodities
2022-04-10,Warehouse B,Market 1,Truck,11,General Commodities
2018-03-18,Warehouse C,Market 1,Air,348,General Commodities
2021-05-02,Warehouse C,Market 2,Rail,205,General Commodities
2021-06-06,Warehouse B,Market 3,Truck,212,General Commodities
2020-08-02,Warehouse B,Market 1,Truck,420,General Commodities
2022-10-09,Warehouse C,Market 2,Truck,284,General Commodities
2020-07-26,Warehouse A,Market 3,Truck,468,General Commodities
2019-06-16,Warehouse A,Market 3,Ship,325,General Commodities
2019-07-21,Warehouse A,Market 3,Ship,148,General Commodities
2017-12-10,Warehouse A,Market 1,Air,474,General Commodities
2018-03-11,Warehouse C,Market 1,Ship,448,General Commodities
2022-07-31,Warehouse C,Market 1,Ship,491,General Commodities
2018-08-26,Warehouse C,Market 2,Air,397,General Commodities
2020-05-17,Warehouse C,Market 1,Truck,147,General Commodities
2018-08-05,Warehouse C,Market 2,Rail,435,General Commodities
2020-12-06,Warehouse A,Market 3,Ship,237,General Commodities
2019-01-06,Warehouse A,Market 2,Air,263,General Commodities
2019-05-05,Warehouse C,Market 2,Rail,193,General Commodities
2020-07-12,Warehouse A,Market 3,Truck,220,General Commodities
2021-06-20,Warehouse B,Market 1,Truck,222,General Commodities
2020-03-08,Warehouse C,Market 2,Rail,104,General Commodities
2022-10-30,Warehouse B,Market 2,Ship,46,General Commodities
2017-04-23,Warehouse B,Market 3,Air,247,General Commodities
2018-06-24,Warehouse B,Market 3,Air,380,General Commodities
2022-02-06,Warehouse A,Market 1,Ship,218,General Commodities
2019-07-28,Warehouse C,Market 3,Truck,213,General Commodities
2017-07-02,Warehouse A,Market 3,Air,355,General Commodities
2020-11-15,Warehouse B,Market 2,Air,433,General Commodities
2017-03-05,Warehouse A,Market 3,Truck,56,General Commodities
2021-05-23,Warehouse B,Market 1,Truck,15,General Commodities
2021-12-19,Warehouse A,Market 2,Truck,406,General Commodities
2018-02-25,Warehouse C,Market 2,Rail,149,General Commodities
2017-11-26,Warehouse C,Market 3,Air,400,General Commodities
2020-03-01,Warehouse B,Market 3,Rail,77,General Commodities
2017-12-24,Warehouse B,Market 3,Air,36,General Commodities
2019-03-03,Warehouse C,Market 3,Rail,79,General Commodities
2017-07-09,Warehouse B,Market 1,Ship,430,General Commodities
2018-10-14,Warehouse A,Market 2,Ship,495,General Commodities
2020-03-29,Warehouse A,Market 2,Air,475,General Commodities
2019-10-27,Warehouse A,Market 1,Ship,405,General Commodities
2018-01-14,Warehouse A,Market 3,Air,179,General Commodities
2021-11-21,Warehouse B,Market 1,Air,247,General Commodities
2021-09-12,Warehouse C,Market 1,Rail,230,General Commodities
2021-06-13,Warehouse B,Market 3,Ship,392,General Commodities
2019-11-03,Warehouse C,Market 3,Air,61,General Commodities
2022-11-20,Warehouse A,Market 2,Truck,11,General Commodities
2021-03-14,Warehouse C,Market 3,Rail,417,General Commodities
2017-01-15,Warehouse B,Market 1,Air,397,General Commodities
2021-07-18,Warehouse A,Market 3,Rail,265,General Commodities
2019-05-05,Warehouse A,Market 2,Ship,344,General Commodities
2018-07-15,Warehouse C,Market 1,Air,210,General Commodities
2019-08-04,Warehouse C,Market 2,Air,333,General Commodities
2017-02-26,Warehouse C,Market 1,Air,90,General Commodities
2022-10-23,Warehouse B,Market 1,Ship,244,General Commodities
2022-11-27,Warehouse C,Market 1,Rail,41,General Commodities
2021-02-28,Warehouse C,Market 3,Rail,190,General Commodities
2019-06-09,Warehouse B,Market 2,Rail,342,General Commodities
2019-10-06,Warehouse B,Market 2,Truck,83,General Commodities
2022-06-12,Warehouse B,Market 2,Truck,163,General Commodities
2019-05-05,Warehouse B,Market 3,Truck,418,General Commodities
2017-04-02,Warehouse A,Market 2,Rail,459,General Commodities
2020-02-23,Warehouse B,Market 1,Ship,467,General Commodities
2019-07-07,Warehouse C,Market 3,Air,124,General Commodities
2020-03-08,Warehouse B,Market 3,Truck,327,General Commodities
2018-02-11,Warehouse B,Market 2,Rail,259,General Commodities
2021-04-04,Warehouse C,Market 1,Air,453,General Commodities
2017-11-26,Warehouse C,Market 2,Truck,222,General Commodities
2020-06-07,Warehouse B,Market 2,Ship,232,General Commodities
2020-01-05,Warehouse C,Market 3,Rail,233,General Commodities
2017-11-12,Warehouse A,Market 1,Rail,429,General Commodities
2022-03-20,Warehouse C,Market 1,Truck,236,General Commodities
2020-07-26,Warehouse A,Market 3,Truck,347,General Commodities
2021-11-21,Warehouse B,Market 3,Rail,71,General Commodities
2018-02-04,Warehouse C,Market 2,Truck,89,General Commodities
2017-06-04,Warehouse C,Market 1,Ship,452,General Commodities
2017-09-24,Warehouse B,Market 1,Rail,427,General Commodities
2021-07-25,Warehouse B,Market 1,Truck,19,General Commodities
2022-11-06,Warehouse B,Market 1,Ship,216,General Commodities
2022-01-02,Warehouse C,Market 1,Ship,390,General Commodities
2022-11-20,Warehouse C,Market 2,Air,457,General Commodities
2017-11-19,Warehouse C,Market 2,Truck,20,General Commodities
2022-09-11,Warehouse C,Market 2,Rail,202,General Commodities
2018-08-05,Warehouse B,Market 3,Rail,381,General Commodities
2017-07-09,Warehouse A,Market 3,Ship,106,General Commodities
2019-05-19,Warehouse B,Market 1,Air,429,General Commodities
2017-09-03,Warehouse A,Market 1,Ship,238,General Commodities
2021-04-11,Warehouse A,Market 2,Truck,255,General Commodities
2021-05-23,Warehouse B,Market 3,Air,67,General Commodities
2021-06-06,Warehouse A,Market 2,Rail,278,General Commodities
2020-10-04,Warehouse C,Market 1,Air,23,General Commodities
2020-10-25,Warehouse B,Market 2,Ship,175,General Commodities
2021-04-25,Warehouse B,Market 1,Rail,18,General Commodities
2017-01-22,Warehouse B,Market 3,Rail,258,General Commodities
2018-08-05,Warehouse C,Market 2,Ship,499,General Commodities
2019-12-08,Warehouse C,Market 1,Ship,136,General Commodities
2019-02-24,Warehouse A,Market 3,Rail,194,General Commodities
2018-09-09,Warehouse B,Market 3,Truck,259,General Commodities
2022-12-25,Warehouse C,Market 3,Air,246,General Commodities
2019-07-07,Warehouse B,Market 1,Truck,497,General Commodities
2019-01-06,Warehouse C,Market 1,Ship,94,General Commodities
2017-03-19,Warehouse A,Market 3,Truck,149,General Commodities
2019-07-21,Warehouse C,Market 1,Truck,172,General Commodities
2017-06-11,Warehouse A,Market 1,Truck,184,General Commodities
2021-09-26,Warehouse C,Market 2,Rail,232,General Commodities
2018-11-18,Warehouse B,Market 2,Ship,248,General Commodities
2018-05-27,Warehouse C,Market 1,Air,35,General Commodities
2019-11-17,Warehouse B,Market 3,Ship,112,General Commodities
2022-07-31,Warehouse C,Market 2,Truck,125,General Commodities
2020-08-16,Warehouse A,Market 2,Rail,261,General Commodities
2017-05-21,Warehouse C,Market 1,Rail,242,General Commodities
2017-10-29,Warehouse B,Market 1,Truck,488,General Commodities
2020-01-19,Warehouse A,Market 3,Air,330,General Commodities
2022-01-09,Warehouse A,Market 2,Rail,468,General Commodities
2021-02-28,Warehouse A,Market 3,Ship,216,General Commodities
2018-01-21,Warehouse A,Market 2,Ship,256,General Commodities
2021-11-07,Warehouse C,Market 1,Ship,105,General Commodities
2017-06-25,Warehouse B,Market 2,Rail,363,General Commodities
2020-11-15,Warehouse C,Market 3,Ship,496,General Commodities
2019-09-08,Warehouse B,Market 2,Ship,499,General Commodities
2022-10-30,Warehouse B,Market 2,Rail,165,General Commodities
2018-03-18,Warehouse A,Market 2,Rail,123,General Commodities
2020-03-08,Warehouse B,Market 1,Air,186,General Commodities
2017-12-17,Warehouse A,Market 1,Rail,29,General Commodities
2021-03-28,Warehouse B,Market 3,Truck,128,General Commodities
2020-04-26,Warehouse C,Market 1,Ship,225,General Commodities
2018-11-04,Warehouse C,Market 2,Ship,469,General Commodities
2017-02-12,Warehouse C,Market 1,Truck,325,General Commodities
2019-10-27,Warehouse B,Market 2,Truck,191,General Commodities
2018-01-07,Warehouse A,Market 1,Truck,308,General Commodities
2020-05-03,Warehouse A,Market 3,Rail,224,General Commodities
2018-05-06,Warehouse A,Market 2,Truck,184,General Commodities
2018-07-08,Warehouse B,Market 3,Truck,39,General Commodities
2019-04-21,Warehouse A,Market 2,Air,316,General Commodities
2021-11-28,Warehouse A,Market 3,Air,487,General Commodities
2017-09-24,Warehouse B,Market 2,Rail,138,General Commodities
2017-07-09,Warehouse C,Market 2,Rail,423,General Commodities
2020-12-20,Warehouse B,Market 3,Truck,106,General Commodities
2022-01-30,Warehouse B,Market 1,Rail,295,General Commodities
2017-04-09,Warehouse B,Market 1,Ship,61,General Commodities
2018-02-04,Warehouse B,Market 3,Air,22,General Commodities
2018-08-12,Warehouse B,Market 2,Truck,106,General Commodities
2019-01-13,Warehouse A,Market 2,Truck,315,General Commodities
2017-08-27,Warehouse A,Market 2,Rail,20,General Commodities
2018-10-21,Warehouse B,Market 2,Rail,193,General Commodities
2022-04-03,Warehouse B,Market 1,Rail,30,General Commodities
2018-06-24,Warehouse A,Market 1,Ship,435,General Commodities
2019-01-13,Warehouse A,Market 2,Rail,219,General Commodities
2022-09-18,Warehouse A,Market 3,Ship,270,General Commodities
2020-10-25,Warehouse B,Market 2,Air,261,General Commodities
2017-01-29,Warehouse C,Market 3,Rail,425,General Commodities
2018-07-01,Warehouse C,Market 1,Ship,415,General Commodities
2019-04-21,Warehouse B,Market 3,Air,113,General Commodities
2021-07-18,Warehouse C,Market 2,Ship,332,General Commodities
2021-03-14,Warehouse B,Market 3,Air,10,General Commodities
2019-03-24,Warehouse C,Market 1,Truck,86,General Commodities
2021-10-24,Warehouse B,Market 2,Air,33,General Commodities
2017-10-29,Warehouse A,Market 3,Truck,362,General Commodities
2022-02-06,Warehouse B,Market 2,Air,308,General Commodities
2022-12-11,Warehouse B,Market 2,Ship,130,General Commodities
2019-11-17,Warehouse B,Market 3,Ship,238,General Commodities
2017-04-02,Warehouse A,Market 2,Ship,276,General Commodities
2021-05-16,Warehouse B,Market 2,Truck,94,General Commodities
2021-04-25,Warehouse B,Market 3,Ship,81,General Commodities
2021-04-04,Warehouse B,Market 2,Rail,134,General Commodities
2019-12-29,Warehouse C,Market 3,Rail,466,General Commodities
2022-04-03,Warehouse B,Market 3,Truck,210,General Commodities
2019-05-19,Warehouse A,Market 3,Ship,191,General Commodities
2020-02-23,Warehouse A,Market 1,Air,363,General Commodities
2018-03-04,Warehouse C,Market 3,Rail,354,General Commodities
2022-04-03,Warehouse A,Market 3,Air,416,General Commodities
2021-10-31,Warehouse A,Market 2,Truck,214,General Commodities
2021-10-24,Warehouse A,Market 1,Air,184,General Commodities
2022-05-01,Warehouse B,Market 3,Air,209,General Commodities
2021-07-11,Warehouse A,Market 3,Truck,216,General Commodities
2022-08-21,Warehouse B,Market 2,Ship,386,General Commodities
2022-02-06,Warehouse A,Market 1,Rail,268,General Commodities
2020-12-06,Warehouse B,Market 3,Ship,455,General Commodities
2021-09-19,Warehouse C,Market 1,Rail,269,General Commodities
2022-05-01,Warehouse B,Market 2,Ship,29,General Commodities
2020-04-05,Warehouse A,Market 2,Rail,493,General Commodities
2019-06-30,Warehouse C,Market 3,Rail,44,General Commodities
2019-08-18,Warehouse A,Market 2,Rail,168,General Commodities
2022-08-21,Warehouse A,Market 3,Air,484,General Commodities
2022-07-10,Warehouse A,Market 3,Ship,78,General Commodities
2018-12-30,Warehouse B,Market 1,Ship,91,General Commodities
2019-03-17,Warehouse B,Market 1,Truck,170,General Commodities
2022-01-02,Warehouse C,Market 2,Ship,441,General Commodities
2020-11-22,Warehouse A,Market 1,Ship,421,General Commodities
2017-11-19,Warehouse A,Market 1,Rail,81,General Commodities
2018-02-04,Warehouse B,Market 2,Truck,126,General Commodities
2018-05-13,Warehouse C,Market 2,Ship,276,General Commodities
2019-01-06,Warehouse C,Market 1,Truck,387,General Commodities
2022-04-24,Warehouse C,Market 2,Truck,205,General Commodities
2020-02-02,Warehouse C,Market 3,Truck,96,General Commodities
2020-10-11,Warehouse B,Market 3,Truck,71,General Commodities
2022-08-28,Warehouse B,Market 1,Ship,172,General Commodities
2020-03-29,Warehouse C,Market 1,Air,21,General Commodities
2018-07-22,Warehouse A,Market 3,Rail,35,General Commodities
2017-04-16,Warehouse C,Market 2,Ship,207,General Commodities
2018-02-04,Warehouse B,Market 1,Truck,13,General Commodities
2017-06-11,Warehouse A,Market 1,Ship,329,General Commodities
2022-10-30,Warehouse C,Market 2,Air,128,General Commodities
2019-10-06,Warehouse C,Market 3,Air,459,General Commodities
2019-10-06,Warehouse B,Market 3,Air,178,General Commodities
2018-03-25,Warehouse C,Market 2,Air,348,General Commodities
2018-09-30,Warehouse A,Market 3,Air,221,General Commodities
2022-01-16,Warehouse B,Market 2,Truck,171,General Commodities
2017-11-05,Warehouse C,Market 1,Air,200,General Commodities
2018-05-20,Warehouse C,Market 1,Air,493,General Commodities
2018-08-19,Warehouse C,Market 1,Ship,485,General Commodities
2022-03-13,Warehouse C,Market 3,Ship,113,General Commodities
2019-02-03,Warehouse B,Market 2,Truck,42,General Commodities
2020-01-12,Warehouse B,Market 3,Truck,475,General Commodities
2017-01-01,Warehouse A,Market 2,Ship,18,General Commodities
2021-01-03,Warehouse A,Market 3,Ship,224,General Commodities
2018-10-28,Warehouse B,Market 3,Rail,136,General Commodities
2018-05-06,Warehouse C,Market 1,Air,177,General Commodities
2018-11-18,Warehouse C,Market 1,Rail,91,General Commodities
2022-08-28,Warehouse C,Market 2,Ship,319,General Commodities
2022-07-03,Warehouse C,Market 2,Rail,424,General Commodities
2021-12-05,Warehouse C,Market 2,Rail,358,General Commodities
2019-10-06,Warehouse B,Market 1,Truck,364,General Commodities
2019-05-05,Warehouse A,Market 2,Truck,353,General Commodities
2020-04-19,Warehouse A,Market 1,Rail,414,General Commodities
